Source,Target,Type,Weight
ChristinaSergeant,SereneHo,Undirected,1
PaddyChew,CarolineFernandez,Undirected,2
RaymondThoe,RahmatRawi,Undirected,1
GeorgeYeo,NeoSweeLin,Undirected,4
JoanChoo,SarahTng,Undirected,1
JereleneChua,JamieHarrison,Undirected,1
GeraldineYeo,SokChoo,Undirected,1
Parames,DennisTan,Undirected,4
JeffChen,IrisTan,Undirected,1
GillianWoon,GohSuLin,Undirected,1
AlvinTan,NoorEffendyIbrahim,Undirected,1
AlvinTan,MaryAnnLau,Undirected,2
GarrettHoo,HossanLeong,Undirected,1
AgnesNg,SitiRaudhaTehan,Undirected,1
EthelYap,MohdFaredbinJainal,Undirected,1
NooraZul,GraceNg,Undirected,1
KohHuiLing,RoyLee,Undirected,1
AnitaDorrett,StanleySoo,Undirected,1
KuoJingHong,MelisaWee,Undirected,1
HareshSharma,GraceLow,Undirected,21
MohdFitaHelmi,Yuliani,Undirected,1
AlvinTan,TinaD’Costa,Undirected,1
KamaniSuppiah,YoShaoAnn,Undirected,1
VishakhaMody,SubinSubaiah,Undirected,1
KuoPaoKun,RoyLee,Undirected,2
SitiZarina,YeoTingKeat,Undirected,1
PatrickWong,SuWei,Undirected,1
Aidli'Alin'Mosbit,YeoYannYann,Undirected,2
YvonneHii,EdwinCheah,Undirected,1
JosefNg,WilliamTan,Undirected,1
MohamedFitaHelmi,KevinPaul,Undirected,1
WongWanHui,MichelleLow,Undirected,1
ChuiYuenPhun,Noorita,Undirected,2
ConstancePng,KokHengLeun,Undirected,1
ShardaHarrison,ChuangXiu'Er,Undirected,2
CatherineChoo,RichardKoh,Undirected,1
KokSiewKhin,RoslindKang,Undirected,1
SitiZarina,ElaineCheah,Undirected,1
LokeLooPin,YeoHonBeng,Undirected,1
LianSutton,AzyyatiBinteAlias,Undirected,1
LoongSengOnn,FrancinePoh,Undirected,1
CharisPeters,LauSokFoong,Undirected,1
HareshSharma,CindyYeong,Undirected,4
ErikoWada,MohamedFitaHelmi,Undirected,1
ClarisseNg,WongMeiLeng,Undirected,1
Jaliah,JoyceOngHweeBinn,Undirected,1
EdwardNathan,JudithTan,Undirected,1
JuliusFoo,RydwanAnwar,Undirected,1
PaulaNg,Muhd.IsyaffiBinMohdIsah,Undirected,2
HareshSharma,HellaChan,Undirected,14
LimShuMei,WeeKhim,Undirected,1
AlexAu,AnthonyYeo,Undirected,1
RodyVera,MelanieTan,Undirected,1
KongWaiJong,ChristineLim,Undirected,2
KokHengLeun,VerenaTay,Undirected,3
ChongTzeChien,AdelynYeo,Undirected,1
TangFuKuen,LisaMarieTan,Undirected,1
AlvinTan,LisaMarie,Undirected,1
KuoPaoKun,LokwKengShin,Undirected,2
ClaireJaffray,HareshSharma,Undirected,1
JacquelineYu,JeffChen,Undirected,1
HareshSharma,FreedieLow,Undirected,1
FitriahAbdullah,KooChingLong,Undirected,1
RahulGhai,AkankshaRaja,Undirected,1
RajeshKrishnamuti,SarahTng,Undirected,1
JeanNg,Mohd.Mahfuz,Undirected,1
EmmyAlim,EmmyAlim,Undirected,4
Remi,VickySng,Undirected,1
VelNg,JeffChen,Undirected,3
DorothyPng,AngelaTay,Undirected,1
AndreaYeo,ChiongWoonShin,Undirected,1
RajeshKrishnamuti,SongDeliang,Undirected,2
KrystalChoo,GloriaNg,Undirected,2
Kevin,LimShuMei,Undirected,1
SereneChen,GeraldineSoh,Undirected,1
RoseEng,LindaLee,Undirected,1
LeroyParsons,LooZihan,Undirected,1
BenjaminThong,Ivylee,Undirected,13
PeterSau,AdelynYeo,Undirected,1
WeeKhim,AprilChua,Undirected,4
PatrickWong,GraceLow,Undirected,2
DebbieLeeLodge,JasmineKong,Undirected,2
MohdFitaHelmi,TobyHuynh,Undirected,2
JoshuaLim,VincentLim,Undirected,3
DavidPark,MuhammadSufiyanBAdam,Undirected,1
AdrianWong,JeanChay,Undirected,1
NurhaidaRahim,JoanneTay,Undirected,1
KohEnYing,RydwanAnwar,Undirected,1
ClarisseNg,RoshniAbay,Undirected,1
MohdFitaHelmi,ShobaHaridas,Undirected,4
DennisTan,JenniferChue,Undirected,4
K.Rajagopal,ColinRozario,Undirected,1
SimPernYiau,GwenSin,Undirected,4
XiaoLiHe,FoongChoonHon,Undirected,1
PoonMunWai,YeoMuiEan,Undirected,1
HareshSharma,EdvinLiveric,Undirected,2
JosiahYoongChuenHui,ChuangXiu'Er,Undirected,1
KevinVerghese,JoannaGoh,Undirected,1
