Source,Target,Type,Weight
KadarSumarsono,BambangPujasworo,Undirected,1
AndySenoAji,HindraSetyaRini,Undirected,2
YennuAriendra,AndreasNova,Undirected,1
AntonChekov,WisnuYudhaWardhana,Undirected,1
JompetKuswidananto,AbrahamPuspo,Undirected,1
TheodorusChristanto,KensukeFujii,Undirected,1
AgusSalimGunawan,EgaKuspriyanto,Undirected,1
PutuFajarArcana,TheodorusChristanto,Undirected,1
TeaterCiliwung,IrfanuddienGhozali,Undirected,1
TakuyaIkeno,AsepHendrajat,Undirected,1
WahyuSantosaPrabowo,Sutikwan,Undirected,1
HeriPurwanto,Wardani,Undirected,1
AyuLaksmi,TheodorusChristanto,Undirected,1
IndrawatiGularso,AdityantoAji,Undirected,1
ElisabethLespiritaVeani,ErwinZubiyan,Undirected,1
ArsitaIswardhani,BernadetaVerryHandayani,Undirected,1
AgusSalimGunawan,Sigit,Undirected,1
SriQadariatin,NurCholish,Undirected,1
HarioPriojati,RickySetiawan,Undirected,1
LulukAriPrasetyo,AlbertusPrasetyoHeruNugroho,Undirected,1
RondaGundul,TotoArio,Undirected,1
WildanKurnia,BahrulUlum,Undirected,1
AndreasAriDwianto,ErythrinaBaskoro,Undirected,3
NungkiKusumastuti,NanikDwiSetyaningrum,Undirected,1
SriQadariatin,TheodorusChristanto,Undirected,7
ArsitaIswardhani,YennuAriendra,Undirected,2
M.BaharSukoco,AndySenoAji,Undirected,1
Suliya,NanikDwiSetyaningrum,Undirected,1
GunawanMaryanto,MuchtarB.,Undirected,1
AgungKurniawan,UdiS,Undirected,1
IgnatiusSugiarto,UgoranPrasad,Undirected,3
AndreNurLatif,YudiTajudin,Undirected,2
SriQadariatin,SeptianDwirima,Undirected,1
WisnuHP,WirastutiSusilaningtyas,Undirected,1
BernadetaVerryHandayani,CitraPratiwi,Undirected,3
RiantoManali,JompetKuswidananto,Undirected,1
RetnoMaruti,AdityantoAji,Undirected,1
FebrianusAnggitSudibyo,ErwinZubiyan,Undirected,1
NaomiSrikandi,NoviKristinawati,Undirected,4
GideonHendroBuono,WildanKurnia,Undirected,1
WidaruKrefiantoDarmawan,Sukarmi,Undirected,1
DebbyUtomo,GalangRais,Undirected,1
RondaGundul,MeggyZ,Undirected,1
GideonHendroBuono,NurLaeliyatulMasruroh,Undirected,1
GunawanMaryanto,BambangToko,Undirected,1
HannyHerlina,UgoranPrasad,Undirected,1
AriDwianto,ErythrinaBaskoro,Undirected,1
KusworoBayuAji,BagusBudiIndarto,Undirected,1
Asita,UmiLestari,Undirected,1
AriDwianto,JompetKuswidananto,Undirected,1
HindraSetyaRini,AbrahamPuspo,Undirected,1
ChrystinaAmbarwati,SentotS.,Undirected,1
M.N.Qomaruddin,DoelSumbang,Undirected,1
AndySenoAji,JamaluddinLatif,Undirected,3
AndreasAriDwianto,MCiptaRanggaAdiNugroho,Undirected,1
ErythrinaBaskoro,OzzyFauziah,Undirected,1
NilamHamid,Asita,Undirected,1
BudiHarto,M.N.Qomaruddin,Undirected,1
IndraRahmi,AlbertusPrasetyoHeruNugroho,Undirected,1
YudiTajudin,limLismaynita,Undirected,1
YudiTajudin,HambarRiyadi,Undirected,1
AndySenoAji,RiskySummerbee,Undirected,3
BahrulUlum,WangiIndriya,Undirected,2
YudiTajudin,SlametGundono,Undirected,1
