Source,Target,Type,Weight
AlexanderAdhiKurniawan,BaskoroBudhiDaramawan,Undirected,1
JamalElTripot,DyahArumRetnowati,Undirected,1
LoubnaDzakiahHarabap,SriQadariatin,Undirected,1
EarlyFebriana,JamalElTriepot,Undirected,1
ArieDyanto,ErythrinaBaskoro,Undirected,1
Serafin,YudiTajudin,Undirected,2
Serafin,SriQadariatin,Undirected,2
Dhani,GunawanMaryanto,Undirected,1
ErythrinaBaskoro,FozanSanta,Undirected,1
RetnoRatihDamayanti,Eko,Undirected,1
PuntoWibisono,HeddyPrasetyo,Undirected,1
RukmanRosadiSSn.,SriQadariatin,Undirected,1
PuntoWibisono,NurulHadi,Undirected,1
JoaquinAlvaresQuintera,GunawanMaryanto,Undirected,1
Imang,Baba,Undirected,1
JamalElTripot,FirmanSitoempul,Undirected,1
Ikrar,DewiMauludiahSari,Undirected,1
Suhardani,AriPunk,Undirected,1
SamuelIndratma,BambangTokoWitjaksono,Undirected,2
YudiTajudin,A.Y.Maharshi,Undirected,1
FirmanSitoempul,DyahArumRetnowati,Undirected,1
Lakonde,VidaLM,Undirected,1
GoethengIkuAhkin,RukmanRosadiSSn.,Undirected,1
BernadetaVerryHandayani,RiskySummerbee,Undirected,2
DavidCampton,SriQadariatin,Undirected,2
AriPunk,GoethengIkuAhkin,Undirected,1
AndreNurLatif,RatnaMufida,Undirected,1
JamesSaunders,AndreNurLatif,Undirected,1
BernadetaVerryHandayani,Sugiarto,Undirected,1
KusworoBayuAji,A.Y.Maharshi,Undirected,1
ArieDyanto,LoubnaDzakiahHarabap,Undirected,1
Sudi,Dhani,Undirected,1
JamalElTripot,Suhardani,Undirected,1
AgungCiptadi,Bambang,Undirected,1
SapardiJokoDamono,SriQadariatin,Undirected,1
RukmanRosadiSSn.,AdiMarsono,Undirected,1
YudiTajudin,GunturSuatmaji,Undirected,1
GoethengIkuAhkin,LoubnaDzakiahHarabap,Undirected,1
AgungCiptadi,Sugiarto,Undirected,1
BambangTokoWitjaksono,Juliandi,Undirected,1
KusworoBayuAji,HeddyPrasetyo,Undirected,1
GunawanMaryanto,PurnawanAndra,Undirected,1
VidaLM,AdiMarsono,Undirected,1
SuyatnaAnirun,Roselinawati,Undirected,1
KusworoBayuAji,AbrahamSukarnoPoespo,Undirected,1
SriQadariatin,Roselinawati,Undirected,1
EarlyFebriana,AndreNurLatif,Undirected,2
Sudi,UungA'ong,Undirected,1
SriQadariatin,TriYogaYudaAsmara,Undirected,1
SamuelIndratma,DyahArumRetnowati,Undirected,2
ErythrinaBaskoro,HeruPielS.,Undirected,1
Suhardani,Lakonde,Undirected,1
MitaNoormasari,Imang,Undirected,1
PopokTriWahyudi,Ikrar,Undirected,1
SriQadariatin,YudiTajudin,Undirected,5
NurlitaTutiPuspandria,NurulHadi,Undirected,1
BaskoroBudhiDaramawan,EarlyFebriana,Undirected,1
JamesSaunders,Roselinawati,Undirected,1
RiskySummerbee,ErythrinaBaskoro,Undirected,1
ErythrinaBaskoro,KusworoBayuAji,Undirected,2
BernadetaVerryHandayani,GoethengIkuAhkin,Undirected,1
AdiMarsono,DewiMauludiahSari,Undirected,1
TriSugiharto,FedericoGarciaLorca,Undirected,1
Roselinawati,PrimaHermawati,Undirected,1
JoaquinAlvaresQuintera,DavidCampton,Undirected,1
Imron,Sugeng,Undirected,1
GunawanMaryanto,Suryandi,Undirected,1
DirmawanHatta,PrimaHermawati,Undirected,1
MitaNoormasari,Bambang,Undirected,1
RetnoRatihDamayanti,NurulHadi,Undirected,2
SapardiJokoDamono,EarlyFebriana,Undirected,1
Nanang,DirmawanHatta,Undirected,1
