Source,Target,Type,Weight
A.ArisKadir,CharmayneChung,Undirected,1
Iylia,ShubaJayaretnam,Undirected,1
JillianToyad,ShirinJauhari,Undirected,1
JeanChan,JoshuaLoo,Undirected,1
AzmirAbdullah,StephanieChan,Undirected,1
HarshiniSukumaran,AhmadFirdauscheYahaya,Undirected,1
KelvinWong,NabihanYaacob,Undirected,1
KimmyKiew,NoraLim,Undirected,1
TillasyiniTharmalingamLimHsuehChinLeo,ChoongWeiLi,Undirected,1
JoannaTan,UjvalSinghSidhu-Brar,Undirected,1
Sufinahbt.AbuBakar,TonyLeoSelvaraj,Undirected,1
SitiFarrahAbdullah,MohdFirdausbinIbrahim,Undirected,1
DaphneQuah,AndrewSia,Undirected,1
AmyTia,Nicole-AnnThomas,Undirected,1
PuiTheng,Illia,Undirected,1
LeahSams,ElaineWong,Undirected,1
AlfredLoh,AhmadAzeembinAnuarudin,Undirected,2
LornaHoong,SuhailiMicheline,Undirected,1
PayalVashist,SheenaBaharudin,Undirected,1
PatriciaLow,PoG,Undirected,1
NancyNgPeiYu,SuhailiMicheline,Undirected,1
RebeccaAdamBarnett,EminaAliyya,Undirected,1
AnnetteChristie,GohHweeLynn,Undirected,1
DeanLundquist,MohamadShaifulbahri,Undirected,2
FarahSulaiman,HoSoonYoon,Undirected,1
Mohd.Hazri,NgShuMun,Undirected,1
TanShinEe,MienLor,Undirected,1
TishaZarinaZainal,TanChongYew,Undirected,2
AmandaSong,Weijun,Undirected,1
IvaComar,PatChan,Undirected,1
AuSowYee,MingLow,Undirected,1
RaphaelCouzet,JoshuaLoo,Undirected,1
EmilyYoon,AzmirAbdullah,Undirected,1
AnushkaDevaser,MohamadShaifulbahri,Undirected,1
JermeParisse,NicholasCheng,Undirected,1
MaxLim,RachelJenagaratnam,Undirected,1
MegatSharizal,JohannanSim,Undirected,1
RezaZainalAbidin,KennedyJohnMichael,Undirected,1
DatoUsmanAwang,TylerChin,Undirected,1
FaridahMerican,IvanAtienzaChan,Undirected,1
OliverPeters,AddyAizad,Undirected,1
DouglasLim,AliciaTalneeDaniel,Undirected,1
SarahShafreenabinMohdHassan,PiniTheng,Undirected,1
ElzaIrdalynna,SafiaHanifah,Undirected,1
WanNurulAmeerabt.W.Mazlan,SyaukatAliHamdanibinHamidi,Undirected,1
NorshilabintiMdIsa,Weijun,Undirected,1
LeeMinLi,AlfredLoh,Undirected,1
IsmaHanumHusein,PatChan,Undirected,1
AlyzsaLim,RebeccaAdamBarnett,Undirected,1
FasyaliFadzlybinSaipulBahri,KamaruzzamanBM.SultanAlaudin,Undirected,1
Farizabt.ZainulAriffin,IntanSyatiqahbt.Hamidi,Undirected,1
LornaHoong,WeeJungJieh,Undirected,1
SitiFarrahAbdullah,JaniceYong,Undirected,1
MarkBeaudeSilva,TuanFaisal,Undirected,1
ArisKadir,Sufinahbt.AbuBakar,Undirected,1
LimSoonHeng,SusheelaB.,Undirected,1
YusmanMokhtar,Ruran,Undirected,1
ZulkarnainbinAbRohman,FadzliJay,Undirected,1
OliverPeters,MinLi,Undirected,1
KelvinWong,JillianToyad,Undirected,1
DaliliAzahari,AidiraKhaidir,Undirected,1
ChristopherLing,MienLor,Undirected,2
ElaineToon,OngLinKern,Undirected,2
ChristopherLing,SydrahMustaph,Undirected,2
ShamaineOthman,Adiwijaya,Undirected,2
MervynPeters,OngLinKern,Undirected,4
SheelaRaghavan,KenKwek,Undirected,1
BelindaRichardson,FadzliJumahat,Undirected,2
SarahLow,HoSoonYoon,Undirected,1
MervynPeters,JacyWong,Undirected,1
LornaHoong,Az'farrBaginda,Undirected,1
RezaZainalAbidin,KeithChin,Undirected,1
TengKy-Gan,JoannaTan,Undirected,1
NelsonWongCheongLum,KevinTheseira,Undirected,1
ShamaineOthman,EsnaniElias,Undirected,2
EdmundWong,PaulWongKeiVan,Undirected,1
NorziziZulkifli,FadzliJumahat,Undirected,1
KelvinWong,Hairi,Undirected,1
TonyLeoSelvaraj,CheeSu-Yen,Undirected,1
SharifahYohanaSyedSaleh,ChewSueAnn,Undirected,1
RizalbinRosliLee,MelissaTeoh,Undirected,1
RebeccaAdamBarnett,LaveeniaSivalingam,Undirected,1
Eli,NorshilabintiMdIsa,Undirected,1
JoylynnTeh,MarkBeaudeSilva,Undirected,1
SharonLam,MinLi,Undirected,1
RozieJulian,NaimSyahrazad,Undirected,1
DoreenTang,TanJeeLee(Jimmy),Undirected,1
SyukIbrahim,JoeWongZeeYie,Undirected,1
NikiCheong,AmindaFaradilla,Undirected,1
TeoMayJean,WongChinWei,Undirected,1
DhineshPradhan,AngelineWoon,Undirected,1
ValerieLow,Lvynn,Undirected,1
NikFaizalbinHazmi,Weijun,Undirected,1
Yaacob,RonnyShim,Undirected,1
StephanieLim,WeeJungJieh,Undirected,1
A.ArisBinA.Kadir,Yaacob,Undirected,1
JoeHasham,PayalVashist,Undirected,1
TengKy-gan,MichaelChen,Undirected,1
RamMeyo,ShankaraRao,Undirected,1
KhooKimLengOng,SzeSze,Undirected,1
EstherLim,RonnyShim,Undirected,2
NicholasPangMingCheng,GenevieneWong,Undirected,1
HerneHelan,TracyWong,Undirected,1
DylanChan,AzrulAnwar,Undirected,1
FaridahMerican,LimKeanTat,Undirected,1
AmandaSong,JianHong,Undirected,1
LimMiawFen,ShahilaJohan,Undirected,1
DatoUsmanAwang,OngLinKern,Undirected,1
StevenHopley,UjvalSinghSidhu-Brar,Undirected,1
Nicole-AnnThomas,AngelLee,Undirected,1
MervynPeters,LeeWenYan,Undirected,2
AbdulQaharAqilah,Tuna,Undirected,1
ChanWenLi,MichaelXavierVoon,Undirected,1
JuliaFoenander,SheelaRaghavan,Undirected,1
Nicole-AnnThomas,RachelLai,Undirected,1
JillianToyad,NormanTeh,Undirected,1
LucyThackeray,KenKwek,Undirected,1
MarkBeaudeSilva,EddyAlzad,Undirected,1
Az'farrBaginda,MayaTanAbdullah,Undirected,1
MarkBeaudeSilva,BadrishIsdiabinBahadur,Undirected,1
NandangAbdulRahman,JoannaSoh,Undirected,1
ReubenArthur,PatrickTeoh,Undirected,1
TeoMayJean,LiesiHo,Undirected,1
MohdHafizulAimiBRoslan,FadzliJay,Undirected,1
NandangAbdulRahman,PoG,Undirected,1
AniJulianabt.Ibrahim,ChristopherDurang,Undirected,1
DoreenTang,DeniseSantaMariaChin,Undirected,1
AmirulSafuanbinKamaludin,ChoongWeiLi,Undirected,1
LengPohGee,Mohd.Hazri,Undirected,1
ChristopherLing,GowryPaary,Undirected,1
Dalila,Kim,Undirected,1
AdelineOng,ShirinJauhari,Undirected,2
IntanSyaffinazbintiSahharim,WongChinWei,Undirected,1
ArisKadir,PatChan,Undirected,1
MohdFairuzbinMohamedAriff(Boy),NorAishahOmar,Undirected,1
LeeMinLi,AlexBroun,Undirected,1
KelvinWong,GeraldinePhillips,Undirected,1
ChewSieTheng,ShunClayton,Undirected,1
U-EnNg,DatoJohariSalleh,Undirected,1
NalinaSamynathan,Sadyabama,Undirected,2
TonyEusoff,ChoyLeRoy,Undirected,1
GlamoriqueArshad,LeeMinLi,Undirected,1
GadlyLim,ChackoVadakethAlfredLoh,Undirected,1
RashidSalleh,MichaelChen,Undirected,1
HotBuns,RachelLai,Undirected,1
WanNurulAmeerabt.W.Mazlan,AngelLee,Undirected,1
ShobanaSeelah,DaphneQuah,Undirected,1
JackLua,AzrulAnwar,Undirected,1
KevinLarken,BellaRahim,Undirected,3
LauWaiKeat,AkmarZaki,Undirected,1
KimmyKiew,JamesWu,Undirected,1
AlanZack,MarkBeaudeSilva,Undirected,1
TeoMayJean,HarshiniSukumaran,Undirected,1
AnushkaDevaser,Az'farrBaginda,Undirected,1
DhineshPradhan,ChristianNealCapes,Undirected,2
TishaZarinaZainal,Kerry-AnnKhoo,Undirected,2
JanetLee,NellNg,Undirected,1
AriRatos,JoeHasham,Undirected,6
SoefiraJaafar,AdelineOng,Undirected,4
MukhshirinbtMohdJauhari,DaphneQuah,Undirected,1
MelissaWong,LaveeniaSivalingam,Undirected,1
SafiaHanifah,JessicaLoo,Undirected,2
AlizakriAlias,SusheelaB.,Undirected,1
PaulLoosley,BadrolShahManan,Undirected,1
ValerieLow,Nicole-AnnThomas,Undirected,1
TengKy-Gan,IsmadianIsmail,Undirected,1
GlamoriqueArshad,AshraffZain,Undirected,1
