Source,Target,Type,Weight
RobertHewett,KeeThuanChye,Undirected,1
MichaelVeerapen,DamaOrchestra,Undirected,1
KanPuiFan,YongHonChong,Undirected,1
RamliHassan,Aruba,Undirected,1
LimHowNgean,SamanthaFurlong,Undirected,1
KurtCrocker,FarenaNurFatah,Undirected,1
BoiG.Sakti,DickyCheah,Undirected,1
MahmudB.Ibrahim,SalimB.Suhaimi,Undirected,1
SarahShahrum,JuneYunos,Undirected,1
AhmadRamzaniRamli,AriRatos,Undirected,1
RokayaBt.Ibrahim,NorizanBt.AbuBakar,Undirected,1
SamanthaLee,BrianaShay,Undirected,1
AdlinAmanRamlie,KhirRahman,Undirected,2
HashimB.Dina,NorizanBt.AbuBakar,Undirected,1
GinaHastings,AshleyZulkifliAlymann,Undirected,1
MayaArissa,NorazmiBahron,Undirected,1
AdelineSongJunLing,Jothiratnam,Undirected,1
ZairyB.Ab.Kadir,Hetty@HayatiSibangkit,Undirected,1
KrishenJit,MewChangTsing,Undirected,2
SamanthaFurlong,VaikeLinnukeNeema,Undirected,1
DinaMegat,Aruba,Undirected,1
BrianFriel,RobertaShaw,Undirected,1
DatoFaridahMerican,Aruba,Undirected,1
JudimarMonfils,GanChihPei,Undirected,1
WilsonWong,AndreDyneshD'Cruz,Undirected,1
HanimHassan,FarenaNurFatah,Undirected,1
SamanthaFurlong,SusanSarahJohn,Undirected,1
IndiNadarajah,DeannaYusoff,Undirected,1
IraDubey,SephraAbraham,Undirected,1
SaidahRastam,ConcepeionDomingomAmon,Undirected,1
MichaelVeerapen,BenTan,Undirected,1
DouglasLim,FarenaNurFatah,Undirected,1
MarkAtkins,JulianMokhtar,Undirected,2
JoeHasham,UnaKirchhuebel,Undirected,1
JillianOoi,JimmyCh'ng,Undirected,1
Ako,Guna,Undirected,1
LewisPragasam,MewChangTsing,Undirected,1
AndrewLeci,LawLeaHong,Undirected,1
DarshiniGovindaraju,SharifudinAhmad,Undirected,1
Rubi-AinDahlan,ShamirChakrabarty,Undirected,1
RahimRazali,LeeSweeKeong,Undirected,1
AhmadRizalAbdulHalim,AnnetteMurielChristie,Undirected,1
KhirRahman,PetraElainePedley,Undirected,1
ChrisNg,JayThiagu,Undirected,1
RogarHulme,HanimHassan,Undirected,1
Mohd.KamalB.Othman,NgGuatHong,Undirected,1
ZuraidaZainalAbidin,DennisLeong,Undirected,1
NirmalaDewi,SarojiniDevi,Undirected,1
MichaelVeerapen,JulianMokhtar,Undirected,1
MariaSamad,BibeeMengaDin,Undirected,1
AwangB.Ahmad,Anna@NorinaBt.Ab.Hamid,Undirected,1
KhirRahman,FarahAshikinIbrahim,Undirected,1
NatasyaYosuff,SitiZalehaMohammadJoha,Undirected,1
KrishenJit,MervynPeters,Undirected,1
RebeccaDuchettWilkinson,SoefiraJaafar,Undirected,1
RaymondMoy,,Undirected,1
NgGuatHong,Hetty@HayatiSibangkit,Undirected,1
Mohd.MarzukiB.Hj.Maulud,SalimB.Suhaimi,Undirected,1
SalimB.Suhaimi,RokayaBt.Ibrahim,Undirected,1
KrishenJit,RamonRahman,Undirected,1
ChrisNg,SzetoMaeyin,Undirected,1
GavinYap,FaridahMerican,Undirected,1
DeannaYusoff,JudimarMonfils,Undirected,1
MahmudB.Ibrahim,SopiahBt.Rosly,Undirected,1
SheryLim,Rene'eAzizAhmad,Undirected,1
WoonFookSen,VaikeLinnukeNeema,Undirected,1
HoichiOkamoto,HuzirSulaiman,Undirected,1
ShamSunderBinwani,GaryFlach,Undirected,1
MarkWong,KenTakiguchi,Undirected,1
