Source,Target,Type,Weight
NurhaidaRahim,Joyce,Undirected,1
PiyushMehta,BabesConde,Undirected,1
WinnieChan,RahimahBinteRoslan,Undirected,1
IanLoy,JamesTan,Undirected,2
IreneLim,KokSiewKhin,Undirected,1
MichaelTan,RuSuiSui,Undirected,2
PearlWong,TingHockFoe,Undirected,1
JessieSeng,RoslindKang,Undirected,1
CherylCheow,RaniceTay,Undirected,1
AndrewChoo,VictoriaHo,Undirected,1
HuangXiangbin,ChiewJingWen,Undirected,1
PhoonYewTien,LianChoon,Undirected,1
PatrinaChan,EdwinCheah,Undirected,2
RichardKoh,AngelaTay,Undirected,1
PatrickWong,JosephineOh,Undirected,1
NancyTay,GloriaTanSiLin,Undirected,1
PaulWang,ChiChi,Undirected,1
HeShuMing,TerenceLau,Undirected,1
ShawnLiu,Sharon,Undirected,1
UmarAhmed,MohdFadlinBinModhSaffri,Undirected,1
WesleyLow,TanNgiapHeng,Undirected,1
NatalinaPereira,MuhammadMuazzamAmanah,Undirected,1
GohGuatKian,LuisFelipeCerveraNoriega,Undirected,1
VincentLim,CalebLee,Undirected,2
SabrinaKadir,KheeShiHui,Undirected,1
NajibSoiman,GabrielChan,Undirected,1
LooZihan,RahimahBinteRoslan,Undirected,5
EleanorSong,TinaWah,Undirected,3
DaisyIrani,MuhammadSufiyanBAdam,Undirected,1
Kumar,WooHsiaLing,Undirected,1
JackTan,DaisyYeo,Undirected,1
VanessaWong,YeJunmin,Undirected,1
AlvinTan,BabesConde,Undirected,4
ChristinaKohSohGeok,PollyLow,Undirected,1
AlvinTan,NoorEffendyIbrahim,Undirected,1
DavidParkCheeWai,VasanthaMalarThevaraja,Undirected,1
GarrettHoo,HossanLeong,Undirected,1
AaronKhek,JezamineTan,Undirected,1
AgnesNg,SitiRaudhaTehan,Undirected,1
EthelYap,MohdFaredbinJainal,Undirected,1
EugeneFoo,Shaq,Undirected,1
IreneTan,ThomasLim,Undirected,1
KohHuiLing,RoyLee,Undirected,1
CandiceChiew,Stepfanie,Undirected,1
ShareenKhattar,PierreAndreSalim,Undirected,1
AndrewLua,JoanneNg,Undirected,1
AgnesNg,ElizabethTan,Undirected,1
MohdFitaHelmi,DiminQiu,Undirected,1
Kevin,LimCuiJuan,Undirected,1
MichaelYap,MuhammadZahariBinAbuTalib,Undirected,1
ChewKengKiat,CarolTeo,Undirected,1
HsiehNizhen,KohLengLeng,Undirected,1
FongWeiLin,SuWei,Undirected,1
QiuDimin,WesleyLow,Undirected,1
GeraldChew,AngieTan,Undirected,1
SukaniaVenugopal,CelestineWongShuTing,Undirected,1
FannyKee,MohdFitaHelmi,Undirected,1
HareshSharma,ChrysTan,Undirected,1
VincentLim,Rainbow,Undirected,1
Mosbit,JedLim,Undirected,1
KuoPaoKun,RoyLee,Undirected,2
VincentLim,BabesConde,Undirected,3
KrystalChoo,ShannonChin,Undirected,2
HareshSharma,JanePekLishi,Undirected,1
Aidli'Alin'Mosbit,YeoYannYann,Undirected,2
HareshSharma,EugeniaChua,Undirected,1
YvonneHii,EdwinCheah,Undirected,1
SuvenChan,HaidaRahim,Undirected,1
PatrickWong,AmosTeo,Undirected,3
PadmaKrishnan,AlvinTan,Undirected,12
SuvenChan,AnnKoay,Undirected,1
ElnieShumastriMashari,EstherTeo,Undirected,1
MonaYeoNeTanBokHua,NgSweeHongWendy,Undirected,1
NoorlinahMohd,RodneyOliveiro,Undirected,1
JeanNg,ChanZiSheng,Undirected,1
ShardaHarrison,ChuangXiu'Er,Undirected,2
CatherineChoo,RichardKoh,Undirected,1
KokSiewKhin,RoslindKang,Undirected,1
IanLoy,RubyPan,Undirected,1
