Source,Target,Type,Weight
PaddyChew,CarolineFernandez,Undirected,2
RaymondThoe,RahmatRawi,Undirected,1
GeorgeYeo,NeoSweeLin,Undirected,4
JoanChoo,SarahTng,Undirected,1
GeraldineYeo,SokChoo,Undirected,1
Parames,DennisTan,Undirected,4
JeffChen,IrisTan,Undirected,1
GillianWoon,GohSuLin,Undirected,1
AlvinTan,MaryAnnLau,Undirected,2
NooraZul,GraceNg,Undirected,1
AnitaDorrett,StanleySoo,Undirected,1
KuoJingHong,MelisaWee,Undirected,1
HareshSharma,GraceLow,Undirected,19
MohdFitaHelmi,Yuliani,Undirected,1
AlvinTan,TinaD’Costa,Undirected,1
VishakhaMody,SubinSubaiah,Undirected,1
SitiZarina,YeoTingKeat,Undirected,1
JosefNg,WilliamTan,Undirected,1
MohamedFitaHelmi,KevinPaul,Undirected,1
WongWanHui,MichelleLow,Undirected,1
ChuiYuenPhun,Noorita,Undirected,2
ConstancePng,KokHengLeun,Undirected,1
SitiZarina,ElaineCheah,Undirected,1
LokeLooPin,YeoHonBeng,Undirected,1
LoongSengOnn,FrancinePoh,Undirected,1
HareshSharma,CindyYeong,Undirected,1
ClarisseNg,WongMeiLeng,Undirected,1
Jaliah,JoyceOngHweeBinn,Undirected,1
EdwardNathan,JudithTan,Undirected,1
JuliusFoo,RydwanAnwar,Undirected,1
HareshSharma,HellaChan,Undirected,9
KongWaiJong,ChristineLim,Undirected,2
KokHengLeun,VerenaTay,Undirected,3
ChongTzeChien,AdelynYeo,Undirected,1
TangFuKuen,LisaMarieTan,Undirected,1
AlvinTan,LisaMarie,Undirected,1
ClaireJaffray,HareshSharma,Undirected,1
HareshSharma,FreedieLow,Undirected,1
RajeshKrishnamuti,SarahTng,Undirected,1
JeanNg,Mohd.Mahfuz,Undirected,1
EmmyAlim,EmmyAlim,Undirected,4
Remi,VickySng,Undirected,1
AndreaYeo,ChiongWoonShin,Undirected,1
RajeshKrishnamuti,SongDeliang,Undirected,2
SereneChen,GeraldineSoh,Undirected,1
RoseEng,LindaLee,Undirected,1
BenjaminThong,Ivylee,Undirected,13
PeterSau,AdelynYeo,Undirected,1
WeeKhim,AprilChua,Undirected,4
MohdFitaHelmi,TobyHuynh,Undirected,2
AdrianWong,JeanChay,Undirected,1
ClarisseNg,RoshniAbay,Undirected,1
MohdFitaHelmi,ShobaHaridas,Undirected,4
DennisTan,JenniferChue,Undirected,4
K.Rajagopal,ColinRozario,Undirected,1
SimPernYiau,GwenSin,Undirected,4
KevinVerghese,JoannaGoh,Undirected,1
MohdFitaHelmi,EffendyYosep,Undirected,1
JeffChen,FarahOng,Undirected,1
YangJoe-Hynn,AlfianSa'at,Undirected,1
ChewPitLee,LisaMarieTan,Undirected,1
SakinahDollah,FooYongKoon,Undirected,2
ClarisseNg,MayadiMohd,Undirected,1
ChongTzeChien,AlanLim,Undirected,4
KokHengLeun,KuoJianHong,Undirected,1
HareshSharma,LaiSweeLeng,Undirected,1
IsmailIshak,RichardTan,Undirected,1
ChiangKaiTing,ClarisseNg,Undirected,1
GillianStephens,YoShaoAnn,Undirected,1
AndrewKoh,AnitaAng,Undirected,1
GillianWoon,RuthTan,Undirected,3
JeffChen,DarrenChiam,Undirected,1
FreddieLow,ShaliniAsnani,Undirected,1
FouridineAng,MelvinWong,Undirected,1
AhmadZaidee,VinayPathak,Undirected,1
MasagoesRahmat,FaezaSirajudin,Undirected,1
AlfianSa'at,KennyLow,Undirected,2
CarolTeo,AbdulLatiff,Undirected,1
GillianStephens,AlemayFernandez,Undirected,1
SakinahDollah,EdlynYap,Undirected,1
SusanYeo,Asha,Undirected,1
HareshSharma,MichaelChong,Undirected,1
GeraldineYeo,LeowWeiJen,Undirected,2
KeatarHM,Izzat,Undirected,1
LeeSiaAng,JasmineTuan,Undirected,13
RaniMoorthy,GeraldineWee,Undirected,1
SamuelWee,VincentChong,Undirected,1
ClaireJaffray,PatrickLiew,Undirected,1
ImogenSmith,JefferyTan,Undirected,1
GerardLee,MarkNaidu,Undirected,1
GeneSharudyn,EmilyBong,Undirected,4
SharonTong,SebastianZeng,Undirected,1
SharonTong,CarolTeo,Undirected,1
PuaEn,DannyYeo,Undirected,1
DaisyChia,MichaelCheng,Undirected,1
ElviraHolmberg,AndrewKoh,Undirected,8
RebeccaDickinson,PhilipJones,Undirected,1
Hossan,JulietChia,Undirected,1
LeongMunHoi,YeoTingKeat,Undirected,1
Maryann,Mira,Undirected,2
HareshSharma,DoreenTan,Undirected,1
LeongHeinWai,HareshSharma,Undirected,1
SharonWoo,AndersonCheong,Undirected,1
SulynnDawnCurrean,FionaYik,Undirected,1
FongChoonSam,TangFuKuan,Undirected,1
AdelinaOng,GeraldineSoh,Undirected,1
MarkRichmond,DavidYee,Undirected,1
HareshSharma,FionaLau,Undirected,3
RydwanAnwar,ChewV.Ming,Undirected,1
RaniKaur,EdwardNathan,Undirected,1
ClarisseNg,ChenFengQin,Undirected,1
RogerWinder,JeanChay,Undirected,1
MelissaLimMeiLin,ZareenaBegum,Undirected,2
Valerie,Fattimah,Undirected,6
LowKeeHong,MargaretTeo,Undirected,1
HareshSharma,NgKokBeng,Undirected,1
GeneSharudyn,KhairulLukman,Undirected,2
DwightIPereira,GurjeetS.,Undirected,1
DianeOng,FrancinePoh,Undirected,1
SongDeliang,LeeSiaAng,Undirected,2
MandyTan,GraceChan,Undirected,4
AzmyHassan,DavisChew,Undirected,4
LeeSiaAng,MandyTan,Undirected,1
EmmyAbdulAlim,TracyKoh,Undirected,1
CelineChow,TrinaSavage,Undirected,1
TayKahMeng,Terence,Undirected,1
ValerieLim,HopeWee,Undirected,1
BoonTeo,Megan,Undirected,1
LowPiPeng,FrontofHouse:KennyLow,Undirected,1
EveTan,LuoRenhao,Undirected,1
EmmyAbdulAlim,ChanLeeLee,Undirected,1
DawnWesterhout,Valerie,Undirected,2
LeowWeiJen,BerniceWilson,Undirected,1
DarrenChiam,SabrinaKadir,Undirected,1
LohKahWei,PokFeeFurn,Undirected,1
VinitaRamani,Rydwan,Undirected,1
GraceFoo,AhmadZaidee,Undirected,3
StevenLim,LorettaTan,Undirected,1
AliciaFeng,PaulTan,Undirected,5
FarahMMTalib,SamuelLeong,Undirected,1
NgiamSu-Lin,FouridineAng,Undirected,2
ClarisseNg,JanetLoh,Undirected,1
MohdFitaHelmi,AlfianSa'at,Undirected,6
EveTan,TanSuanWee,Undirected,1
LimLayChoon,SuzielahwatiShamsudin,Undirected,1
HareshSharma,JumaliBinKassmadi,Undirected,1
PearlPwee,SharonGMTan,Undirected,5
SamanthaYeo,CassendraLim,Undirected,1
ChongTzeChien,IrisTan,Undirected,1
MohamedFitaHelmi,LimWoanWen,Undirected,1
SimPernYiau,AdelinaKoh,Undirected,3
LowKahWei,NorazamParman,Undirected,1
ClarisseNg,ClaireLeow,Undirected,2
FaezaSirajudin,SzeBanWah,Undirected,1
AlvinTan,WinnifredWong,Undirected,2
MrFoo,MelissaLim,Undirected,1
CarolineFernandez,HellaChan,Undirected,3
LeeTuckLeong,NgiamShin-Shin,Undirected,13
AmritaKhadilkar,FeliciaChee,Undirected,4
ElvinChingTchiFoong,LatherinaPark,Undirected,1
HareshSharma,LeeTeckKhoon,Undirected,3
TanSiewHoon,SharaadKuttan,Undirected,1
HossanLeong,LiewYeePing,Undirected,1
HaroldTan,WongMeiLeng,Undirected,1
TinaD’Costa,JeanChay,Undirected,1
AlvinTan,WanHui,Undirected,2
VincentPang,ChanManLoon,Undirected,1
DianeOng,LeeWengChoy,Undirected,1
LeeSiaAng,SeowYiqi,Undirected,13
ElaineChan,GohSuLin,Undirected,1
ZeldaTatianaNg,ChonnieHuang,Undirected,2
KennyLow,MelvinnChan,Undirected,4
PuaEn,SabrinaKadir,Undirected,1
LiewChenRen,AndersonCheong,Undirected,2
SelineKao,ChewKengKiat,Undirected,1
ClarisseNg,Mira,Undirected,4
IvanHeng,RoseSivam,Undirected,1
KokHuiMoi,FionaYik,Undirected,2
LimJenErh,WIllimaTeo,Undirected,3
EdwardNathan,TanKhengHua,Undirected,1
DwightIPereira,LeeSiaAng,Undirected,1
ChiangKaiTing,ThomasThian,Undirected,1
AmritaKhadilkar,IvyLee,Undirected,4
FarahMMTalib,DwightIPereira,Undirected,1
KennyLow,Ivylee,Undirected,13
CalvinLoo,YeoShuYin,Undirected,1
SuzielahwatiShamsudin,TayMeishuang,Undirected,1
LowKahWei,LowMengWai,Undirected,1
MelisaWee,SabrinaLee,Undirected,5
DeliaKang,SiewFong,Undirected,1
GraceFoo,ShaliniVasyl,Undirected,2
MrJames,SuzielahwatiShamsudin,Undirected,1
MabelLee,KumYoke,Undirected,1
MelinaNathan,IvanHeng,Undirected,2
JaliahMenoler,AdrianLim,Undirected,1
ValerieLim,TwinkleR,Undirected,1
RoseSivam,GeorgeYeo,Undirected,1
YoShaoAnn,AlfianSa'at,Undirected,1
AlvinTan,WongSheauYing,Undirected,4
FionaYik,FouridineAng,Undirected,1
CarolineFernandez,TangFuKuen,Undirected,1
RoseNg,CassendraLim,Undirected,1
